Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms
Kentucky Route Zero - Act IV,19/7/2016,Cardboard Computer,Cardboard Computer,Adventure,Not Rated,6.1,54,PC
Amplitude (2003),24/3/2003,Harmonix Music Systems,SCEA,Rhythm,Rated T For Teen,6.9,11,PlayStation 2
Q.U.B.E. Director's Cut,21/7/2015,Toxic Games,Toxic Games,Action Puzzle,Rated T For Teen,6.8,39,Xbox One
The Last of Us,14/6/2013,Naughty Dog,SCEA,Linear Action Adventure,Rated M For Mature,9.2,14920,PlayStation 3
Unpacking,2/11/2021,Witch Beam,Witch Beam,Puzzle,Not Rated,7.6,133,PC
SiNG Party,18/11/2012,FreeStyleGames,Nintendo,Rhythm,Not Rated,6.1,22,Wii U
Nancy Drew: Danger on Deception Island,1/10/2003,Her Interactive,Her Interactive,First-Person Adventure,Rated E For Everyone,7.7,19,PC
Animal Crossing: New Horizons - Happy Home Paradise,5/11/2021,Nintendo,Nintendo,Virtual Life,Not Rated,8,37,Nintendo Switch
Cake Mania,9/4/2007,Digital Embryo,Majesco,Puzzle,Rated E For Everyone,6.894852313,,DS
Pride of Nations,7/6/2011,AGEOD,Paradox Interactive,Turn-Based Strategy,Rated T For Teen,5.6,17,PC
Tainted Grail: Conquest,27/5/2021,Awaken Realms,Awaken Realms,Card Battle,Not Rated,7.6,33,PC
Redshirt,13/11/2013,The Tiniest Shark,Positech Games,Simulation,Not Rated,5.3,35,PC
Mega Man Star Force: Dragon,7/8/2007,Capcom,Capcom,Action RPG,Rated E For Everyone,6.2,20,DS
Star Wars: Squadrons,2/10/2020,Motive Studios,Electronic Arts,Space Combat Sim,Rated T For Teen,5.6,423,PC
The Council - Episode 2: Hide and Seek,15/5/2018,Big Bad Wolf,Focus Home Interactive,Adventure,Rated M For Mature,6.8,20,Xbox One
Chambara,26/7/2016,team ok,team ok,FPS,Rated E +10 For Everyone +10,6,6,PC
Umbrella Corps,21/6/2016,Capcom,Capcom,Tactical Third Person Shooter,Rated M For Mature,2.4,189,PlayStation 4
Halo Wars,3/3/2009,Ensemble Studios,Microsoft Game Studios,Command RTS,Rated T For Teen,7.6,453,Xbox 360
The Curse (2012),23/8/2012,Mojo Bones,Toy Studio LLC,Puzzle,Not Rated,6.894852313,,iOS (iPhone/iPad)
AMY,11/1/2012,VectorCell,Lexis Numerique,Survival,Rated M For Mature,3.8,90,Xbox 360
A-Train: All Aboard! Tourism,12/3/2021,Artdink,Artdink,Tycoon,Rated E For Everyone,8.5,,Nintendo Switch
Star Wars: Empire at War: Forces of Corruption,24/10/2006,Petroglyph,LucasArts,Real-Time Strategy,Rated T For Teen,8.5,94,PC
Stronghold: Warlords,9/3/2021,FireFly Studios,FireFly Studios,Command RTS,Not Rated,6.2,32,PC
BattleBlock Theater,3/4/2013,The Behemoth,Microsoft Game Studios,2D Platformer,Rated T For Teen,7.9,196,Xbox 360
Disgaea 3: Absence of Justice,26/8/2008,Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,8.3,100,PlayStation Vita
PGA Tour 2K21,21/8/2020,HB Studios Multimedia,2K Games,Golf Sim,Rated E For Everyone,6.3,79,Xbox One
World Championship Poker: Deluxe Series,18/11/2004,Coresoft,Crave,Gambling,Rated E For Everyone,6.894852313,,PlayStation 2
Escape from Bug Island,25/7/2007,Spike,Eidos Interactive,Survival,Rated M For Mature,5.3,6,Wii
NCAA March Madness 2003,21/11/2002,NuFX,EA Sports,Basketball Sim,Rated E For Everyone,6.894852313,,PlayStation 2
The Shivah: Kosher Edition,21/11/2013,Wadjet Eye Games,Wadjet Eye Games,Point-and-Click,Not Rated,6.894852313,,iOS (iPhone/iPad)
Rez,30/1/2008,HexaDrive,Q Entertainment,Rail Shooter,Rated E For Everyone,8.4,33,PlayStation 2
Blazing Angels: Squadrons of WWII,23/3/2006,Ubisoft,Ubisoft,Aircraft Combat Sim,Rated T For Teen,7.1,8,Xbox
Conflict: Global Terror,4/10/2005,Pivotal Games,2K Games,Tactical Third Person Shooter,Rated M For Mature,7.5,,PC
Dynasty Warriors: Gundam 2,21/4/2009,Omega Force,Namco Bandai Games,3D Beat-'Em-Up,Rated T For Teen,5.9,13,Xbox 360
Monster Adventures,10/10/2013,,,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
Deathsmiles,29/6/2010,Cave,Aksys Games,Horizontal Shoot-'Em-Up,Rated T For Teen,7.9,31,Xbox 360
Super Monkey Ball: Banana Blitz HD,29/10/2019,Ryu ga Gotoku Studios,Sega,Party,Rated E +10 For Everyone +10,5,43,PlayStation 4
Star Hammer: The Vanguard Prophecy,4/6/2015,Black Lab Games,Slitherine,Turn-Based Tactics,Not Rated,6,14,PC
For Honor: Marching Fire,16/10/2018,Ubisoft,Ubisoft,Action Adventure,Not Rated,3.4,11,PlayStation 4
